ID,channel,offset,exponent,error_mae,gof_rsquared,dataset
0,dataset01_01R,-2.5244858110132666,1.2008345488134373,0.0670143394074465,0.9828533821042112,source HD-EEG
1,dataset01_01L,-2.906981783914982,1.0034124378890905,0.061786744971559046,0.9807917766643314,source HD-EEG
2,dataset01_02R,-2.818173536835173,1.2252500541351723,0.05783012999261536,0.9874581178608066,source HD-EEG
3,dataset01_02L,-2.8847453462661887,1.2330843786051666,0.12877796801913538,0.9045365660814071,source HD-EEG
4,dataset01_03R,-3.0607048996270394,1.231582857290755,0.08172747075147632,0.9738551569009917,source HD-EEG
5,dataset01_03L,-2.819320021975498,1.281039861351138,0.06886413142061092,0.9837972689798066,source HD-EEG
6,dataset01_04R,-3.4671336223682747,1.1643260186883035,0.07248458842851217,0.9746929221385289,source HD-EEG
7,dataset01_04L,-3.354690190484303,1.140349994671739,0.06861223217554874,0.9759186268833975,source HD-EEG
8,dataset01_05R,-2.7201274377403424,1.124508305336354,0.053274850309225505,0.9849084055495302,source HD-EEG
9,dataset01_05L,-3.4184052133272185,1.2325880190664085,0.0691512783342603,0.9788283598019084,source HD-EEG
10,dataset01_06R,-3.1858122573161314,1.14920760887475,0.06095513761275589,0.9811460200694503,source HD-EEG
11,dataset01_06L,-2.9528545829979236,0.7358309473232818,0.06273264397311056,0.9579448772493429,source HD-EEG
12,dataset01_07R,-2.4128539906617186,1.2489384731619642,0.045001702731180794,0.993093792433982,source HD-EEG
13,dataset01_07L,-2.6596036772033305,1.0443079368694421,0.08427836467036218,0.9640391348557996,source HD-EEG
14,dataset01_08R,-3.329590159363181,0.9959763994424099,0.10082090088957911,0.9512127258510954,source HD-EEG
15,dataset01_08L,-3.6607462234492525,0.5558850908298627,0.06572990923400403,0.9271497250398336,source HD-EEG
16,dataset01_09R,-3.516606686690291,0.9703699162273495,0.05939620530533745,0.9815056305286645,source HD-EEG
17,dataset01_09L,-3.4908016417521357,0.4836494721305427,0.054112667935096274,0.9303584143023802,source HD-EEG
18,dataset01_10R,-2.9559521844648207,1.191550244102091,0.06647614897225164,0.9855065909688082,source HD-EEG
19,dataset01_10L,-3.0404391779966025,0.5851624570828406,0.04731778204829496,0.9627513395094466,source HD-EEG
20,dataset01_11R,-2.2702088278848693,1.4006188733326816,0.03968391834355957,0.9957636505908873,source HD-EEG
21,dataset01_11L,-2.4176605863603204,1.407535907319445,0.0705194814079104,0.9838303706650284,source HD-EEG
