,δ,θ,α,β,γ
'Amygdala',0.4771171352877138,0.40695078178946087,0.5728014512321322,0.8010872946574918,0.5025836376443519
'Angular gyrus',0.30508154451033354,0.24374971174822668,0.6809249455413761,0.8640584391765813,0.7163462608244148
'Anterior cingulate',0.4920247300988593,0.5431929413185221,0.6313482230742864,0.8114840757637339,0.5758665245303674
'Anterior insula',0.8106791299646694,0.5718258348473302,0.3552865121053851,0.6207129918893851,0.5279846049735194
'Calcarine cortex',0.7340332584945038,0.3365684408851372,0.7132306055175557,0.7556749874274351,0.8292262232252834
'Central operculum',0.8206043541548841,0.8194377629094795,0.7886373155520601,0.690499609667682,0.5627089430086631
'Cuneus',0.8510895383992411,0.3855953078718168,0.618240308235698,0.7772616498730263,0.8783462033853527
'Frontal operculum',0.7581385059538155,0.7315621910666369,0.3954972703573851,0.577556778342185,0.5433958402116568
'Fusiform and parahippocampal gyri',0.7144810619764989,0.6036411087364705,0.8038456121961353,0.8242604272963017,0.7301141641255923
'Gyrus rectus and orbital gyri',0.5752186437421937,0.5607775249281011,0.49208194766178087,0.730972292835381,0.43698703461237703
'Hippocampus',0.7021707825494016,0.5761398787675558,0.5261209286577201,0.8507960310873859,0.47098680011668764
'Inferior ocipital gyrus and occipital pole',0.4029625445991602,0.3213878340701661,0.8863781482621618,0.8414428863159464,0.6643445058136889
'Inferior temporal gyrus',0.666845956965487,0.6030802183668706,0.8332292905590192,0.7567496321170508,0.6645028068441614
'Lingual gyrus and occipital fusiform gyrus',0.8044596777295715,0.7173934209908517,0.7588278779461837,0.7875932710113267,0.8497968567612035
'Medial frontal cortex',0.5512193518627907,0.550531312082203,0.6235427866641278,0.7269015915120361,0.3301549276626639
'Medial segment of precentral gyrus',0.8084029697676901,0.8255545023854737,0.5704589213775666,0.6073330408528055,0.6301274605001066
'Medial segment of superior frontal gyrus',0.43629072554909876,0.6282604120455147,0.6240924353081136,0.752006771817752,0.7584580176890093
'Middle cingulate',0.8568449993591044,0.8467548785191821,0.6108768393527454,0.7474507692643663,0.7253286113132821
'Middle frontal gyrus',0.9130101395360025,0.6500089572191181,0.4615465197392741,0.7027391663928073,0.6324762433337493
'Middle temporal gyrus',0.6860351657420133,0.2935505390785837,0.8020991911710804,0.7828395989886577,0.6540137329313583
'Opercular part of inferior frontal gyrus',0.8219776118246466,0.7792055467493005,0.5172438022411969,0.33143255130903554,0.5130891358677492
'Orbital part of inferior frontal gyrus',0.6153326645772003,0.6673721506144547,0.4033055022604265,0.5662426501349076,0.5208899391438675
'Parietal operculum',0.8112283285868055,0.7121012029425178,0.7834519303295432,0.7657229636131836,0.7644634219620556
'Planum temporale',0.6160742610115392,0.5865844057922585,0.7320247763299675,0.7681502420609754,0.6648981681775936
'Postcentral gyrus (including medial segment)',0.870566303768525,0.7348704361334356,0.7673841226766496,0.7596089795240631,0.7317195534171398
'Posterior cingulate',0.8796572598982696,0.6139215221963044,0.5509502144212777,0.6064663687471675,0.7538159469404806
'Posterior insula',0.8260123259650823,0.5253007264572342,0.7181090805453602,0.786853383287563,0.6017890654339856
'Precentral gyrus',0.9262451335966049,0.8660539964728027,0.8019280667887329,0.7661631039836616,0.6779107708203113
'Precuneus',0.8022369252824558,0.47079956839865683,0.6091228728640568,0.5403077737171096,0.8179167025050268
'Superior and middle occipital gyri',0.7345713016147704,0.38476390691515666,0.7700011544241017,0.8191290697360337,0.7582525510512317
'Superior frontal gyrus and frontal pole',0.7455074722446005,0.599809641296519,0.668091709992419,0.8421437006842735,0.753801282944205
'Superior parietal lobule',0.8777336831518159,0.6052910572553212,0.7244924115294478,0.7691305667925489,0.7733932310623252
'Superior temporal gyrus',0.5784372406363226,0.5064720951172192,0.8157085719612084,0.670662269258087,0.5876357759946398
'Supplementary motor cortex',0.7500997024700822,0.7205493490937835,0.6049445670593087,0.8435085863286719,0.6970346350871554
'Supramarginal gyrus',0.6503454584398267,0.44308154122886906,0.7550122057110106,0.7698793492223323,0.7063475410534239
'Temporal pole and planum polare',0.39567524105969826,0.4442632289045645,0.735251149549802,0.8152669777625806,0.6104439028156838
'Transverse temporal gyrus',0.9129603250473264,0.671938086684296,0.731380520534881,0.7367947705140797,0.6351734614969446
'Triangular part of inferior frontal gyrus',0.7939535588985576,0.4977827568964934,0.43511535831108056,0.5349303061740046,0.5301516893328706
