,0.5-0.75,0.75-1.25,1.25-1.75,1.75-2.25,2.25-3.25,3.25-3.75,3.75-4.25,4.25-5.25,5.25-6.25,6.25-6.75,6.75-7.75,7.75-8.25,8.25-9.25,9.25-10.25,10.25-11.75,11.75-13.25,13.25-15.25,15.25-17.25,17.25-20.25,20.25-24.25,24.25-31.75,31.75-80
'Amygdala',,0.5092065484924789,0.9788257768626377,0.9815427393985091,0.7077838508392866,0.4831072335587249,0.4596483633276067,0.3358031969060757,0.868414011030939,0.9859349842704076,0.8752288931066781,0.9100065306362498,0.912028873292404,0.5891975066056111,0.609028071753472,0.6167638160164506,0.8937216881152343,0.7828957758595532,0.868602931550765,0.8902301436041647,0.9101154793448349,0.5226216702668152
'Angular gyrus',,0.0,0.2810332862910667,0.2776418400052618,0.7775058551258897,0.1940326067934407,0.8686703392125678,0.1771536905935559,0.0,0.35477953546860364,0.6764784507296044,0.9574273947912185,0.822291346311545,0.7154908688864218,0.5862845765341798,0.8474533510680914,0.9332970705207254,0.943713284054848,0.9264096669485382,0.8859130271477582,0.9123156867868861,0.7123342557291591
'Anterior cingulate',,0.40163520193525337,0.9244866107687337,0.369312871781663,0.7313201983501488,0.9853206719934654,0.967610188443455,0.949487423330144,0.8461705570885883,0.5432472520652112,0.06536774981531306,0.2116215919425978,0.6665776741620554,0.8510395527150428,0.8005682941689372,0.9510042286255672,0.829253768019421,0.844072961501959,0.8648856695661402,0.9222698248255036,0.8985999059390726,0.5642560322985098
'Anterior insula',,0.9117285896148889,0.9829678838958508,0.984868420585232,0.9586743598174476,0.9794213922020572,0.9894835525068115,0.9466565886241625,0.8389969370571,0.4260274310558129,0.07943237728737501,0.2694925269456151,0.2781882848739814,0.23414472986514204,0.4823110744286393,0.8666601726244889,0.41431550445611764,0.1002845700835951,0.6210345036565694,0.8111188746228721,0.8304410127369126,0.5310928083989859
'Calcarine cortex',,0.9367689720440235,0.9497100767074037,0.9589249042572641,0.8914247659546124,0.959113345836044,0.973689330125184,0.3060401432439415,0.09497741521994207,0.9364525607606746,0.7757771553024646,0.9246264557687276,0.9024505983053286,0.9144690716396834,0.9127089913285545,0.9331294438595289,0.7875567062968454,0.9073196508059821,0.885856082546105,0.9106806329353528,0.8789303164997373,0.8283831056482058
'Central operculum',,0.9823664430404234,0.9823639221301791,0.978052931690799,0.9005526647699048,0.986706553985516,0.9858404319098664,0.9538976480034932,0.913517501805669,0.9497190199201103,0.8564377960705614,0.9495226064326685,0.9252439137768637,0.8338659905381886,0.8383092988151801,0.9216073540436617,0.6771143694034806,0.44452758188266317,0.7932448654931687,0.8951577652310907,0.7787054505596426,0.5657949880936117
'Cuneus',,0.9873240778448317,0.9902903813730765,0.9888502045217823,0.9161713928105217,0.9627117146653295,0.7459961893602469,0.7930929642352424,0.7886491314667132,0.9577667867538489,0.20383373637658,0.19914972444125717,0.8375512396596417,0.8182678761015834,0.8895137954999329,0.9081240223655881,0.9207783031455435,0.9322505877680546,0.817618296143106,0.7694347230555533,0.8749903901661638,0.8864987384830334
'Frontal operculum',,0.9675581662280454,0.9150238518942003,0.9737781163955569,0.9232283181798687,0.9922246798527714,0.9930435868456123,0.9216196366461339,0.9418449715781859,0.9243708530321355,0.723003091350522,0.6347217279808172,0.6118926272728885,0.27707666137419923,0.4653036366834149,0.8325409587989209,0.7095742120420853,0.2774914094139676,0.5780780130433495,0.7764607245734142,0.8273643922824135,0.5404558216112014
'Fusiform and parahippocampal gyri',,0.9643099797903019,0.9952451516185771,0.9876530989092712,0.8327485019781857,0.7610302755549573,0.750587774448093,0.736790184662234,0.7744805926710986,0.9716653612584887,0.902252133307405,0.9756195000581382,0.9345711102123427,0.9464614270218571,0.9042556121451826,0.748774393544267,0.8884835675038788,0.9127019038819678,0.9017972452354016,0.8570039630927976,0.9329194164027286,0.7221698836077952
'Gyrus rectus and orbital gyri',,0.0,0.9946794906608921,0.9723022971986531,0.6990058397572265,0.8683558419756597,0.9461169056562482,0.8908652626460978,0.8024687094772458,0.8545420245270562,0.3153226270666305,0.6268554208096758,0.5917039541333646,0.25460862610568685,0.6409140131776732,0.9138725072218249,0.9314873500722337,0.7371550341168656,0.7580865929657743,0.7688311027661704,0.9066648663958843,0.42064690509881575
'Hippocampus',,0.949684825958716,0.9517998053586636,0.7832249513749052,0.8998185449604311,0.9632168610407041,0.960042652213002,0.8720595400147395,0.9094179700725159,0.7914838885677392,0.48127815219873044,0.8694074899985037,0.785335469242382,0.6954885517169159,0.6203403904821473,0.5225759737410304,0.8684583740624369,0.9300448477243237,0.8932861878979879,0.8971692910715389,0.8913667790813113,0.45820349036007546
'Inferior ocipital gyrus and occipital pole',,0.9647395928029051,0.5156403909446452,0.0,0.47386546961667847,0.9401939275241293,0.7216472481016546,0.40626494827500154,0.17898186192990648,0.8477789463816627,0.8354448885790782,0.9872734061901924,0.959259765539451,0.9703055526931145,0.9377451406768885,0.9476888632433144,0.9595463482955005,0.9534870723831584,0.9076576059241611,0.9152420378034772,0.855313299916053,0.657589064088177
'Inferior temporal gyrus',,0.9929789796537206,0.9224219643257346,0.9870461798202432,0.7897930075641522,0.6564307507504797,0.8900698533549223,0.8917903245508073,0.5424168490869313,0.9255306434331245,0.900171883877565,0.9601940978863738,0.942705314376369,0.946548129021183,0.929533059122572,0.8597349996695942,0.65460138380681,0.7237370332592662,0.8958417779587924,0.9249864490221289,0.8882545417628216,0.656542839222267
'Lingual gyrus and occipital fusiform gyrus',,0.9202469375954331,0.9858495472665201,0.9459200248291478,0.9365449232461412,0.9227442559847342,0.9313097997884526,0.8903987371801441,0.9135104200186276,0.9889238180847978,0.8697195674381053,0.9553107522965137,0.972474357425373,0.9440332262017768,0.8390058227083937,0.8175938179405207,0.9070215672232398,0.9275452529753705,0.8482519361106845,0.8135032595902707,0.8790350606935737,0.8514086564829438
'Medial frontal cortex',,0.24752426029356292,0.981095975881139,0.9831189475760249,0.6727800467224611,0.9466492470754581,0.9271240529189798,0.8522737932502152,0.8590681761717229,0.7848875796199374,0.3715951012678479,0.5278147307162614,0.8051776384916588,0.7260499877941834,0.7847884391019536,0.908912514775307,0.743511305441288,0.710498306328181,0.8644394610917605,0.8740654017750926,0.8229869267049147,0.3227936886021056
'Medial segment of precentral gyrus',,0.8020024324640825,0.9752749188158651,0.8583538306629757,0.8738299368359884,0.7743661319421128,0.9272236575905924,0.9438108037478309,0.8956101853895304,0.9657667754287546,0.927449419988358,0.9389897493371469,0.8736926388328531,0.7477004894858706,0.545811408883775,0.6264812510394719,0.840550241815798,0.7038374681449553,0.730023870138579,0.6968995600962729,0.7903017374680608,0.6295013896442494
'Medial segment of superior frontal gyrus',,0.44813532289201163,0.7093418930895681,0.5570743767115259,0.7243720130604201,0.761820462789314,0.8364829119337043,0.8902270519219198,0.889893200552774,0.9785464349023353,0.9045215587642799,0.6661993755384775,0.6595617009344183,0.781513424112569,0.7088123305348064,0.738510543469937,0.8042738928665999,0.7421551851145283,0.8824938457093832,0.9207854634460955,0.9035562822385523,0.755425744175558
'Middle cingulate',,0.7783854703453933,0.9809793498569355,0.985488460029431,0.9679612841414577,0.9260703042428706,0.9245860187530062,0.9635461254996153,0.9423523331252028,0.9846070669236299,0.9077495117916997,0.7051216648733414,0.7227088043623368,0.7154098065016076,0.639515652015908,0.8885450965738002,0.9147173659950641,0.8793408017737265,0.8568412331702719,0.8278982608864615,0.8508903345801515,0.7316931716212153
'Middle frontal gyrus',,0.9640384719992926,0.9966467867309478,0.9959222990136606,0.9782088318206665,0.9858214148482249,0.9552931724912348,0.7334462230969807,0.8398605223424483,0.9840669802653541,0.6945154207513323,0.642159836610625,0.5716036715294863,0.5954911038893264,0.32292504002286065,0.8443899441565994,0.75320383265301,0.6582451785786729,0.7027215992556313,0.7949272332411339,0.8821463232954616,0.6274817026708631
'Middle temporal gyrus',,0.5411944481999008,0.9847894662397183,0.975818823590481,0.8867390171076616,0.8991000366026382,0.1469906817302639,0.14404221445088852,0.26834151599309186,0.528918367181361,0.7216382453399527,0.9781326416192233,0.9132733923981254,0.8647402232175154,0.8823509298778379,0.8830469200508162,0.8317618835521917,0.8826956381668608,0.8843458216403659,0.9033072007875731,0.8534647798416014,0.6477006174024972
'Opercular part of inferior frontal gyrus',,0.992851458379661,0.952490354883896,0.946534357123787,0.9474619135834704,0.9772615348830879,0.9837179543432107,0.9349901829573128,0.9300777130475303,0.9824441831426164,0.8570685263350512,0.8908358428290785,0.677674253280051,0.48687018021990364,0.5140147373848892,0.7678276284223403,0.6649033840779738,0.5362235657111573,0.3825102541538701,0.3642569706402974,0.5727329843657777,0.5189736841317593
'Orbital part of inferior frontal gyrus',,0.9519438912007763,0.9699514223861695,0.9428928227178597,0.7089586211454977,0.9823366021869809,0.9824132759740543,0.8289212636347761,0.9520043339871558,0.9628151570499383,0.7668786715776035,0.591071264315489,0.5492123302730401,0.24942146055325207,0.5827890113666809,0.7591844311913315,0.8472018045328835,0.7382102883212307,0.6321023329856813,0.6650072043471358,0.8680028151809155,0.5078586338759314
'Parietal operculum',,0.8712009903496855,0.9793431766422693,0.995407369126926,0.9300190299398454,0.9656811909825378,0.9082423450136329,0.8485610826662493,0.8770310504454091,0.9796037761736434,0.881914986488747,0.9870643956687964,0.9684925369525806,0.8340785870516277,0.7548267251794453,0.8425061636492818,0.8881860775697861,0.8964870215121977,0.8579448773905962,0.8563703011518654,0.9079153253865748,0.760789636389619
'Planum temporale',,0.7827326265318951,0.9885919925259637,0.9396347428644211,0.7143130691402014,0.8855945785199303,0.6264803806762986,0.529457178751028,0.9074649579943362,0.9148109255117506,0.7568131492172685,0.9920776283806577,0.9424106183374037,0.8145442715158728,0.7240028853560646,0.8507423574307286,0.8977096785317071,0.8967140687900925,0.8432304673261319,0.8882891086434461,0.8550775154867692,0.6642631105247206
'Postcentral gyrus (including medial segment)',,0.9509851946489962,0.9936042681124471,0.9914444348106788,0.9390134390311783,0.9929476529058526,0.9490932780678193,0.8856552982077204,0.929926525872889,0.9755105825476745,0.8447941696645667,0.9867954867701719,0.9686505685839489,0.8977514663018161,0.8061588403889852,0.814873271703341,0.9190873478379729,0.9184726024965947,0.8692996864393598,0.7814659167412096,0.916435463828458,0.7271434061971264
'Posterior cingulate',,0.808960262079228,0.9108212157122455,0.918951375312461,0.978709811986303,0.9886828296969259,0.9752573042321138,0.8143585682464982,0.8378840708143531,0.9342408308765375,0.3786238264615547,0.6816084930126057,0.700486437262974,0.7564886752349089,0.6516416368604727,0.5670031634784234,0.7461021948345581,0.7324421365964764,0.5216763567190759,0.6752560740624535,0.8587841366724003,0.7505839839896727
'Posterior insula',,0.7145694987299138,0.983855420668402,0.9541800240631922,0.9340427396485562,0.9750230246595315,0.7995905560856558,0.7917503703883048,0.4669406093584827,0.5340357201555119,0.7361950848274207,0.917171836715594,0.861139977544715,0.7588829681359848,0.7416448077687318,0.8178480630927206,0.9041334696505258,0.8901871943754968,0.8707555161589648,0.8815758166134717,0.8254488433044106,0.6031883549921879
'Precentral gyrus',,0.9933488074180294,0.9836563407770255,0.989052199605436,0.9766889013378034,0.9891357562291553,0.9659844671483615,0.9095857949780436,0.9419621458880573,0.9679886168877075,0.9580349221322352,0.9796050115781808,0.9486300843178657,0.7982249959895156,0.794540529086955,0.8802292151197635,0.8560223341134054,0.9008073192935341,0.8504004096388325,0.8922527635438307,0.8633910835470033,0.6770094389540509
'Precuneus',,0.7040846034626637,0.7420107753901222,0.8343205546946817,0.9362458891359847,0.9534790519509132,0.8531123733844841,0.6378278910131449,0.40034164550087364,0.8486098429474371,0.8077002929140247,0.7960878231774118,0.8425648873715863,0.7657583192293482,0.6353389431237502,0.6471222178469898,0.6953821615712723,0.8035047124584513,0.4848737923581917,0.37914082237721125,0.798658902020895,0.8223330482239596
'Superior and middle occipital gyri',,0.8991353358223998,0.9055419831241499,0.911753984324619,0.916042891884282,0.45836223381482494,0.35955747892908596,0.31288872398295403,0.7830678988061104,0.9717745253386412,0.7907800084666062,0.9383635704663006,0.9461047736145713,0.8875085508504515,0.8886516841613182,0.8820522527716572,0.9241124366632287,0.9488633909574846,0.8934652435345073,0.9035960960775893,0.8874733559958359,0.7561491951808598
'Superior frontal gyrus and frontal pole',,0.5214138480478707,0.9501516442668638,0.9691553439891274,0.9501181283106133,0.914097759214376,0.9238735030572581,0.8348742226337112,0.5782372988515166,0.9441887549716536,0.8041460554654638,0.8723565214305493,0.8006714646097727,0.7541922872652846,0.5916294578466957,0.8372004298997279,0.8933058170663707,0.8716649685985489,0.9261997943836738,0.9376696729498868,0.9045331251022639,0.7515078298036334
