,δ,θ,α,β,γ
'Amygdala',0.4183516451408841,0.28605010171588685,0.46411110094595803,0.35687302171517526,0.17204651724432155
'Angular gyrus',0.6004105056457877,0.6552521712199563,0.8336505174402989,0.45960958943309904,0.173690795961033
'Anterior cingulate',0.4542106401581551,0.5158775189000707,0.7760458870587179,0.3929037301746562,0.11129445369920045
'Anterior insula',0.49748073913212426,0.6950682597828965,0.7459832682746025,0.2919507553509873,0.005803591130191789
'Calcarine cortex',0.5454679043802413,0.5238618016599063,0.813020705370989,0.4398606533809766,0.5779937484789898
'Central operculum',0.5377622587591486,0.32333693829890287,0.8393286456644768,0.3762750016496182,0.0047010058412938266
'Cuneus',0.6364152864464401,0.46647550207168526,0.6541161539910493,0.3523723434671505,0.6053641812031425
'Frontal operculum',0.3924242733374165,0.5762292501346135,0.7306334502343431,0.34066679831741514,0.026940752530600513
'Fusiform and parahippocampal gyri',0.6523417618354406,0.08604840971210392,0.7581632908305603,0.22895281740811915,0.08241996839447163
'Gyrus rectus and orbital gyri',0.6439422101841838,0.6285709293192606,0.8228281236927243,0.6218454779231857,0.10468064933763391
'Hippocampus',0.18980112918387806,0.44038776700741655,0.40681414068449634,0.1979728035647938,0.12438395210288433
'Inferior ocipital gyrus and occipital pole',0.17388905100393923,0.09462665988217371,0.83050508828575,0.28685946156483716,0.030748009769979705
'Inferior temporal gyrus',0.4853735377867865,0.11916076393791962,0.7283790878194812,0.21575812287246432,0.0011773278582696111
'Lingual gyrus and occipital fusiform gyrus',0.6058228766162492,0.3788977889424859,0.7648096906531152,0.45044959184862743,0.608525695055255
'Medial frontal cortex',0.6671134022145309,0.6601732840189467,0.8258989308507179,0.527962193497662,0.2117346232892796
'Medial segment of precentral gyrus',0.3141251126464061,0.7865633202898338,0.5579556240483765,0.5361540056435106,0.5616112135450889
'Medial segment of superior frontal gyrus',0.580905863718432,0.672113307932919,0.653007761581039,0.5333606424851665,0.26180137590647123
'Middle cingulate',0.4800726884745774,0.7669247358192269,0.7472492166925779,0.522726388179081,0.6772784772167444
'Middle frontal gyrus',0.6403658951389137,0.42323020447317444,0.7898677607366912,0.4399249700222732,0.05911590556022555
'Middle temporal gyrus',0.5754968963343889,0.6108951467235958,0.7903343334307502,0.22414532532351353,0.008898573812517685
'Opercular part of inferior frontal gyrus',0.577465373051897,0.35286839584634005,0.7172272574195462,0.3669532161600621,0.09245459429300275
'Orbital part of inferior frontal gyrus',0.5784311389337774,0.4754504623568614,0.665993358460738,0.4117637981206752,0.08692086480339087
'Parietal operculum',0.669297467693915,0.3873054826630751,0.8503734350435932,0.4856911939141936,0.14898882332455898
'Planum temporale',0.7336661410796125,0.6974130174318252,0.8260881663606323,0.6043242846659134,0.27146953511592925
'Postcentral gyrus (including medial segment)',0.6224287857101336,0.1681196723587546,0.7460515379881549,0.5489774941408867,0.1503976612226825
'Posterior cingulate',0.6075816372863968,0.584083188702847,0.7903390492710028,0.7388008136787285,0.8541193766203774
'Posterior insula',0.6889560547157865,0.7660993330889402,0.8118181320325762,0.5109643857362375,0.17543247946707763
'Precentral gyrus',0.37512815363221313,0.7724505208471841,0.8436431337500735,0.5461520592074711,0.1886199175914742
'Precuneus',0.7229474952290504,0.7424626651592893,0.8126818516514585,0.6803180675440555,0.7861701309123578
'Superior and middle occipital gyri',0.6435907938320079,0.3528162261127482,0.72041840745922,0.35749042880998255,0.24472557202500417
'Superior frontal gyrus and frontal pole',0.641928619892986,0.528849276445349,0.7751153557476351,0.6033796404774021,0.41369380758009067
'Superior parietal lobule',0.7258658662577896,0.650018783303982,0.7607197894546296,0.48526909267419804,0.41532567666740183
'Superior temporal gyrus',0.6250324092438809,0.23645143349751352,0.6731117529813551,0.21924738392180906,0.007895843069094927
'Supplementary motor cortex',0.5708966228690915,0.6106018867820406,0.7217046261735509,0.6675086104330797,0.5711844461753799
'Supramarginal gyrus',0.7401104323093268,0.7975076485005671,0.8559155012365106,0.46183663049856305,0.10667294593847197
'Temporal pole and planum polare',0.6900867368762373,0.6703422899846972,0.744911291282235,0.3209533901444391,0.021495015852816227
'Transverse temporal gyrus',0.46327392131371115,0.5343051665549663,0.8295949561525918,0.7462406441605887,0.3709673905855793
'Triangular part of inferior frontal gyrus',0.536475000408874,0.1457866464732436,0.7241790313114813,0.40625879423836453,0.026155020795437904
