,0.5-0.75,0.75-1.25,1.25-1.75,1.75-2.25,2.25-3.25,3.25-3.75,3.75-4.25,4.25-5.25,5.25-6.25,6.25-6.75,6.75-7.75,7.75-8.25,8.25-9.25,9.25-10.25,10.25-11.75,11.75-13.25,13.25-15.25,15.25-17.25,17.25-20.25,20.25-24.25,24.25-31.75,31.75-80
'Calcarine cortex',0.0,0.9866147649825313,0.9339816176737095,0.7775366323246882,0.7993953558674118,0.4907761622243816,0.5093130831661346,0.7442000221783172,0.8535286664684014,0.8811467636017707,0.01702884016619123,0.8463196635304019,0.9290894812212401,0.9191351986970748,0.9633290345066846,0.9194294554976767,0.7618621209951957,0.7460167414756325,0.5743236619092207,0.560302429803049,0.6179090325752062,0.5758083052884604
'Cuneus',0.5335432866676493,0.8366633709808489,0.7047446096433138,0.9759338004706068,0.930695708819842,0.9596344985246854,0.9434183819766384,0.8949147489553261,0.8158186436070101,0.47737522039900626,0.0,0.0,0.6528674009460634,0.9039040752685121,0.924801584987797,0.9292382727632206,0.8953469387184737,0.8917482926805703,0.4579118981353151,0.16387455829327846,0.36444912011037484,0.6133483732213384
'Inferior ocipital gyrus and occipital pole',0.0,0.9302524502308955,0.2864625553436787,0.0,0.0,0.0,0.3799560547060816,0.051762234135693495,0.10362843979290227,0.23601124008088267,0.17246875335903458,0.7696448162248197,0.9394546120157272,0.9751143002121466,0.9390665340517198,0.9406275553513552,0.9217564585071878,0.9106917721491437,0.42198363939675665,0.03099827564470853,0.0016176870551298948,0.03200799401860316
'Lingual gyrus and occipital fusiform gyrus',0.0,0.9826979512791862,0.9583277470503876,0.9679056606998213,0.8945052023250711,0.8825057059507506,0.9289997074578774,0.7994550360535808,0.3716084690226461,0.0,0.0,0.1815509039505407,0.8285529478570857,0.9589859296044825,0.9646029426877988,0.9248839845756172,0.9016209605844177,0.8688664366516237,0.4887628039507128,0.3841588522163666,0.5027561299067352,0.6129436848799722
'Superior and middle occipital gyri',0.0,0.9308003554923537,0.971511983974173,0.9672844548357361,0.8234417159078025,0.9638415280343937,0.8981397102890297,0.7481077923682875,0.3961187339201961,0.12712840261671476,0.20484497633664672,0.6719464143732197,0.8241354197086425,0.9066416999720778,0.9255000561095783,0.94065323164807,0.9149640418293677,0.840210427097275,0.6922509620768933,0.1336810473840587,0.10474102261660152,0.2479274004047954
'Angular gyrus',0.0,0.47223497439009393,0.9272130031810037,0.7945950353537055,0.8305534621104422,0.9260322577080824,0.8238832657702512,0.6698903422190109,0.7866550643216924,0.8434829160305901,0.8168949879926543,0.9779994302382137,0.9410135756498302,0.9001817380272559,0.8724257358614178,0.9154088330425499,0.920831501679397,0.9490613508642646,0.7297093531737291,0.40921467410454604,0.3419043011226845,0.1768200744163639
'Parietal operculum',0.0,0.980448719553412,0.9862347968274889,0.9674006424210089,0.9093604924993873,0.9484684383367055,0.8704235463902079,0.6520925028225562,0.3521950834980319,0.3742225959941822,0.5089652452800197,0.9343231653320165,0.9552680043690494,0.9602547411319702,0.9526130563157105,0.8236237382120809,0.6584397756840298,0.817230892414806,0.7715614048634748,0.8240875223703725,0.514855005826046,0.1493888369534737
'Postcentral gyrus (including medial segment)',0.0,0.92049386952298,0.892612052435159,0.9939288724202597,0.9707471229046168,0.9605170304417119,0.9008214092552888,0.2207818823455569,0.05633710719178762,0.0,0.012855103169159054,0.2334333044238523,0.8216904590429953,0.9639994226434588,0.9505383231711112,0.8497774306989199,0.46154881039108514,0.7481229664736566,0.7392098355722628,0.6700422014055792,0.7799997868500814,0.14137203570482781
'Posterior cingulate',0.0,0.9761060649503102,0.9852235989247424,0.9835445794180439,0.8356247654137481,0.8642527658683264,0.6937133182285575,0.36231209399923797,0.7722713077843841,0.935164428834676,0.8867040638597141,0.9743528853275346,0.9599528275337531,0.8740465612007331,0.834547651314751,0.9029661525159188,0.8826079180945336,0.8827658039568713,0.8364435832470657,0.8326620608743364,0.8207302630735458,0.857641190931965
'Precuneus',0.0,0.9169924574616548,0.9918582765737297,0.9782903710137135,0.9519998854033798,0.9749210224049685,0.9541265065619251,0.8764127115495847,0.8411619585558903,0.8389920471773132,0.8065520763550614,0.9846367466063017,0.9712862654611715,0.8836466759010583,0.7968927495418913,0.9271683869107694,0.9127093613459335,0.8927815039535912,0.8053180379287448,0.8159055626164126,0.8530806651060476,0.787571490066737
'Superior parietal lobule',0.0,0.9832375194228714,0.9879440352014612,0.9915076053768022,0.963575234160068,0.9851506984845573,0.9663601201056534,0.8374016877417105,0.7923859095040073,0.7589276284389109,0.6846843220940726,0.9273662575272769,0.9376352332959538,0.9296826190800535,0.8386503848520325,0.908238947972606,0.885820839792133,0.8487077024984478,0.6886815783785192,0.3777176865040031,0.570307344625236,0.42626428846500625
'Supramarginal gyrus',0.0,0.9842914694249081,0.9816255510714818,0.9869084795593861,0.9496875609611996,0.9848408583203376,0.9679437560385166,0.8776150622252991,0.8796298639097007,0.8637829222303945,0.8745016486586644,0.9887799032828819,0.9726231279260149,0.9658474764100526,0.9171778519041481,0.8754214577508977,0.6037538586933346,0.7249283189945323,0.7753271810906684,0.6448467907140784,0.5390907934780984,0.10074868846883753
'Anterior cingulate',0.0,0.9759333063524579,0.9811390613441584,0.9217433126583158,0.5395106036744192,0.5826413026746389,0.6565889934959477,0.6292104755640054,0.8933448271330442,0.9946698346532622,0.6330371927190677,0.836164494816358,0.9098038840807727,0.913618265455892,0.9233805000965695,0.9392981275005076,0.7151018861591706,0.8851005656077368,0.8746177819998617,0.5869244656086423,0.18464658277924342,0.11372723003479981
'Central operculum',0.0,0.9330936896588385,0.7799661559925919,0.9537045245530403,0.7727826588643113,0.9421623794881713,0.7493793376119597,0.46585911651845013,0.37160309054110063,0.3566428995262448,0.26845050614093013,0.9539425759833582,0.9525515800854686,0.9424989451043444,0.9516597298891325,0.8334342987357664,0.22393221595726892,0.4708206782319222,0.7129299531266065,0.7547250171083346,0.3307716790157989,0.004704423333855116
'Frontal operculum',0.0,0.8610782365147147,0.43007067474902405,0.228009465181262,0.8767032705406648,0.9110652200123168,0.8654246582795625,0.4698359019420803,0.5060633172640188,0.9364260608244501,0.8589535788239289,0.9860241375505748,0.9772877974159645,0.9037118823726413,0.867994147572822,0.6833920203145741,0.19209389399848642,0.39076249250003253,0.6950871826227587,0.694615184360303,0.47250618440962205,0.014655633317961016
'Gyrus rectus and orbital gyri',0.0,0.9501763093420577,0.9704667027355963,0.9856780763498086,0.9379113717825944,0.9555193827131766,0.9433807877437264,0.6108218006364414,0.6807675356179459,0.9843303673330293,0.858087315510455,0.9874237272520607,0.9449822215090575,0.9027932856985682,0.8610737027927005,0.9376634361004448,0.8786387678845443,0.8110786732298271,0.8540841290014987,0.760367125726338,0.7940881130811903,0.08151518649112033
'Medial frontal cortex',0.0,0.9659040573777367,0.9852757593670948,0.9807517713689766,0.915557246424082,0.9792682755652067,0.977466890231615,0.6493236179016155,0.8037121812765038,0.9889516231870334,0.9015082216398658,0.9916906634233718,0.9739975690442287,0.9170631938735063,0.8825172115272094,0.9020917699497085,0.8291862925789648,0.8141435463594486,0.7336175714736152,0.7940894046705598,0.6758990656141435,0.19486243141349122
'Medial segment of precentral gyrus',0.9323455552322732,0.0,0.0,0.020464622094041814,0.5713527198213199,0.9809690168775348,0.9410589679297728,0.9434705227001406,0.8660810280166178,0.9555245258138155,0.8717549387711288,0.9702510616607759,0.864247553042102,0.7969243303470319,0.559679877137172,0.6202463323805276,0.8252668768487144,0.6942555889683113,0.7650382548042279,0.7392836172999857,0.5803944541859303,0.5702029271166807
'Medial segment of superior frontal gyrus',0.0,0.9050510580961828,0.9647245792931567,0.9930795050317258,0.7910421261789123,0.9530095677398189,0.9326598816152576,0.7870786128359724,0.9503740720720051,0.9898119786454503,0.897610999460726,0.7660483618760161,0.7653971755978374,0.8452083275648827,0.7974105601218376,0.6394895674430715,0.4567318725484767,0.6999411674977533,0.8143024022481411,0.8070694228549209,0.7277004764803029,0.252983087738236
'Middle cingulate',0.0,0.9298241299991682,0.41754314920835767,0.6109681205290918,0.8368657702320131,0.9740079620934965,0.9506740002818083,0.8041230187097124,0.8892858222675728,0.9810308777837834,0.9360616853653306,0.9803120333408264,0.9325245328600134,0.9292542968927905,0.8650869231288744,0.8425302408928167,0.3183658070112307,0.4884504247934151,0.812534830715015,0.7912491957805929,0.8361881216658237,0.6811661164608634
