,δ,θ,α,β,γ
'Amygdala',0.02146241101017925,0.020191713503258504,0.03715163912708229,0.048973018098025706,0.17807195433846942
'Angular gyrus',0.006982712675333522,0.0,0.12864053181640536,0.5274727335669844,0.39010600959033864
'Anterior cingulate',0.031860154076879824,0.04181313088506218,0.10404125768385973,0.4071096405717289,0.20179804099810217
'Anterior insula',0.259200342587995,0.05659130196159669,0.08745234494629292,0.18431087277953787,0.17823216214061907
'Calcarine cortex',0.07432119687506206,0.029340984970210086,0.13376405279672499,0.42035936769767557,0.49083940425762734
'Central operculum',0.23923606954678614,0.13057356994144934,0.3555140579392931,0.24948738194593276,0.24603620834006149
'Cuneus',0.31848428528601963,0.0,0.17160784114383407,0.24024068754109182,0.6082755612327937
'Frontal operculum',0.21977825908540813,0.14098652885518925,0.0363232124098205,0.06101575906204547,0.1725976587640964
'Fusiform and parahippocampal gyri',0.30231802007000896,0.07587667093147872,0.2796927983736822,0.480511516582335,0.42596490795871483
'Gyrus rectus and orbital gyri',0.017506140047370927,0.002823841659305271,0.05055418327442367,0.16402937099729326,0.09853436944687455
'Hippocampus',0.13117283106012398,0.1645927760022002,0.07058503353858593,0.37114681821944484,0.21418914491057073
'Inferior ocipital gyrus and occipital pole',0.0,0.0,0.3696527912927574,0.32865175191689666,0.3366185306334561
'Inferior temporal gyrus',0.10605880575437794,0.042855136718077044,0.3043512237276094,0.35469755496041155,0.3115751439743376
'Lingual gyrus and occipital fusiform gyrus',0.2565412596151147,0.12576817758252548,0.2708990612291001,0.4017283706990053,0.5514870620526368
'Medial frontal cortex',0.10384030087303615,0.02236528706748433,0.04416135963864475,0.19345041004636432,0.13591185005813386
'Medial segment of precentral gyrus',0.052950734895933646,0.0,0.13867621689827184,0.15756469617930094,0.43879063102726584
'Medial segment of superior frontal gyrus',0.0,0.05135677952464593,0.06625203547547204,0.3057789884844321,0.359478691445828
'Middle cingulate',0.33606328924960716,0.25050466730128135,0.1505231284514361,0.2505591119642017,0.5086576935740024
'Middle frontal gyrus',0.43904815231282474,0.1260205661623681,0.03902792402219936,0.1673839935265522,0.31488576793637757
'Middle temporal gyrus',0.20868696315963983,0.0,0.2993979571746925,0.391099129897201,0.3167097963172054
'Opercular part of inferior frontal gyrus',0.17122350357796018,0.10678619765779385,0.021719935874287978,0.020062990543043387,0.1807891566549196
'Orbital part of inferior frontal gyrus',0.04840225747026655,0.21570549954532842,0.0,0.21605534073354676,0.16002184892127658
'Parietal operculum',0.23462801763279326,0.043237472126580065,0.2379929002490351,0.3978085278267866,0.4148308121040573
'Planum temporale',0.08854334769264112,0.0,0.24697165348167377,0.4435910267342247,0.2785124232321135
'Postcentral gyrus (including medial segment)',0.41926264249792844,0.18945327604977216,0.35406335614379153,0.4220429978889699,0.36025791685281433
'Posterior cingulate',0.2898952995335797,0.02549701838433458,0.10583220117312477,0.16978173808092276,0.4359925296520183
'Posterior insula',0.18874999735904494,0.0,0.22669793992050338,0.3003485491753191,0.2600955690236232
'Precentral gyrus',0.3991445612417071,0.007634568368121758,0.3127835803175573,0.17361544902346226,0.2934438655866542
'Precuneus',0.11715945448281534,0.0,0.13425962343478628,0.09070461581933076,0.5903267675565465
'Superior and middle occipital gyri',0.023414942314531298,0.03283483486044308,0.29576686343740516,0.4922487248904668,0.4452055519859392
'Superior frontal gyrus and frontal pole',0.16367325579646033,0.07644927493205847,0.1319170672728646,0.43070495627423094,0.39540250194032256
'Superior parietal lobule',0.1255828045307006,0.045757355963990914,0.23117567451645046,0.3957385681475218,0.49376194851477395
'Superior temporal gyrus',0.18073090771684236,0.07876833671608506,0.427220498860284,0.2446170118855637,0.2338289142379834
'Supplementary motor cortex',0.08237232605637415,0.07023275329145777,0.11032001658326916,0.3397843135547284,0.4602181298095583
'Supramarginal gyrus',0.18559096197839342,0.007319759341657805,0.28931398583235785,0.47558298166902124,0.39153838795698437
'Temporal pole and planum polare',0.024711819292319144,0.0,0.24686618786480927,0.23685026560127243,0.16315000036152594
'Transverse temporal gyrus',0.3067435125923851,0.01075352472565145,0.29761571425331296,0.3696031347751888,0.2805037176882022
'Triangular part of inferior frontal gyrus',0.05642521604711342,0.0366937425979042,0.0744381504026568,0.06812412407829303,0.20235449019761348
