,0.5-0.75,0.75-1.25,1.25-1.75,1.75-2.25,2.25-3.25,3.25-3.75,3.75-4.25,4.25-5.25,5.25-6.25,6.25-6.75,6.75-7.75,7.75-8.25,8.25-9.25,9.25-10.25,10.25-11.75,11.75-13.25,13.25-15.25,15.25-17.25,17.25-20.25,20.25-24.25,24.25-31.75,31.75-80
'Amygdala',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14375664809626906,0.15976151460210328,0.0,0.0,0.0,0.16660968851974936
'Angular gyrus',,0.0,0.0,0.0,0.018168558120489443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0914628304706793,0.10762237720762814,0.0,0.08985210988647481,0.4128395988019916,0.32867474671409264,0.15145995724032507,0.3477539061077602,0.29574510346749816,0.3931843767177295
'Anterior cingulate',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061920934375991214,0.0,0.0,0.0,0.4573365737560992,0.4992059892071478,0.19276597492805322
'Anterior insula',,0.0,0.21123025531684797,0.05567280250743066,0.0,0.0,0.10872427452605367,0.06148976847888393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11966949174877044,0.0,0.0,0.0,0.03722378383367555,0.3426693847280573,0.1754422325499326
'Calcarine cortex',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20296572075894065,0.014339018371805259,0.0,0.0,0.0,0.23125569208230012,0.13796447708175724,0.4452324549217122,0.49666412638535834
'Central operculum',,0.06925891032244628,0.057274662377301465,0.0,0.00878442028938639,0.08781794284050377,0.08275933868726469,0.0,0.0,0.0,0.0,0.0,0.10480889180456968,0.0895501443310707,0.12552259909040997,0.5234322961638593,0.0,0.0,0.030895598439490704,0.2524218857935072,0.18797479876492545,0.2509955343849413
'Cuneus',,0.14629191888903825,0.10806973992610171,0.16686989739570982,0.1047652981849615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01839472268129421,0.05475706615581872,0.14418149272666944,0.010036977800377366,0.016692142026836193,0.4121662145293996,0.6057055286240303
'Frontal operculum',,0.0,0.0,0.0,0.10827751839167087,0.2532043023460437,0.04074103498050655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12509649290047076,0.0,0.0,0.0,0.0,0.05926849434221214,0.17261247895296847
'Fusiform and parahippocampal gyri',,0.05944312810925839,0.3216391531274707,0.38551558456465046,0.006047130243935016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2664514619456683,0.26365213328747145,0.08133326319150785,0.0,0.2517776841792398,0.2593763607882744,0.07920446295899386,0.18977150604477167,0.6441799063371514,0.4190972835649098
'Gyrus rectus and orbital gyri',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10825980848782181,0.018318623827999307,0.0,0.0,0.020615182821055213,0.03427835701429741,0.09643499753671657
'Hippocampus',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3217177085561433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15902239000944088,0.13489382083275855,0.04502316024691583,0.14394303266406203,0.5729320460016564,0.21006854156790522
'Inferior ocipital gyrus and occipital pole',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25198058007299134,0.3248476713913013,0.1796041053597341,0.29552377509752764,0.05284108147971215,0.0489807033108441,0.128844771803334,0.3876611671913847,0.19892430636125089,0.33832433702265646
'Inferior temporal gyrus',,0.019373234997192977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2990673150865405,0.07188047496458484,0.0,0.0,0.0,0.2314236432336704,0.4609380972522686,0.3605652657454533,0.31043608986576815
'Lingual gyrus and occipital fusiform gyrus',,0.27893829185864055,0.2532294791898006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2482210059964674,0.18448929841520914,0.0,0.030907041941867955,0.27309173010248006,0.1502389530249306,0.11877493717131524,0.622043120852826,0.5465683947807615
'Medial frontal cortex',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04608850841798516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0335654199943034,0.10989873613278206,0.06239166348052087,0.13296695726254304
'Medial segment of precentral gyrus',,0.0,0.2328924874828922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06476446466213295,0.0,0.006882558540286637,0.016488460431031773,0.0,0.0,0.0,0.017697326082595,0.4389361208168588
