,δ,θ,α,β,γ
'Amygdala',0.0,0.0076379771953260355,0.024364960036369294,0.0,0.0006293758248669449
'Angular gyrus',0.0,0.0,0.432285991715852,0.1699516443926815,0.0
'Anterior cingulate',0.03609061427561724,0.16350519287172002,0.20402802551558552,0.05601645020030249,0.0
'Anterior insula',0.1054491056464144,0.1466137475902538,0.24875449468702748,0.05954145636909282,0.0
'Calcarine cortex',0.0,0.0,0.27398659785293333,0.047883278497863536,0.0
'Central operculum',0.1046418168607621,0.0,0.4918515781874637,0.07280545397793331,0.0
'Cuneus',0.030871960691006464,0.0,0.18816119248131818,0.05293822784647949,0.010381095054160959
'Frontal operculum',0.10485826757528274,0.0,0.4023231712361612,0.07656804785068529,0.0
'Fusiform and parahippocampal gyri',0.1770892769778765,0.0,0.3535956884917121,0.03230632525867526,0.0
'Gyrus rectus and orbital gyri',0.06710205569671292,0.14507496670750117,0.36255903633066655,0.1331267800331668,0.0
'Hippocampus',0.0,0.12066650240460493,0.029542027275339805,0.0,0.0
'Inferior ocipital gyrus and occipital pole',0.0,0.0,0.3556649953415768,0.02116594109345823,0.0
'Inferior temporal gyrus',0.0988673436463732,0.0,0.13102191884200626,0.04706821706684958,0.0
'Lingual gyrus and occipital fusiform gyrus',0.11164218854090197,0.0,0.39198397281411285,0.08171079310557339,0.0
'Medial frontal cortex',0.18998133540786638,0.15823323644891915,0.1588535046947175,0.06481570547454418,0.0
'Medial segment of precentral gyrus',0.0,0.0,0.13658237645934249,0.1728520920768382,0.12058622780763328
'Medial segment of superior frontal gyrus',0.11826107033739702,0.11657367741389338,0.10552057377752357,0.0989474971556876,0.00035944729161147953
'Middle cingulate',0.08079344486407593,0.05420129109982223,0.317985420184797,0.13417577408598386,0.07229661887175329
'Middle frontal gyrus',0.2539707855350111,0.026541898936686487,0.4936357362396899,0.16606448050640976,0.0
'Middle temporal gyrus',0.0755519467134928,0.0,0.4743501065127636,0.08799972020139388,0.0
'Opercular part of inferior frontal gyrus',0.08110939738375378,0.0,0.28799542899778763,0.08497220926203243,0.0
'Orbital part of inferior frontal gyrus',0.10076276043282423,0.0,0.17367875369798227,0.03800227674046007,0.0
'Parietal operculum',0.14930626620919765,0.0,0.4646298013379183,0.10281586899298986,0.0
'Planum temporale',0.12687603029508612,0.0,0.4570504368433861,0.11955055579111903,0.000785273679725229
'Postcentral gyrus (including medial segment)',0.28246509054707253,0.0,0.44519617758204955,0.06316423142722018,0.0
'Posterior cingulate',0.06542735333308645,0.0,0.31447392771111354,0.14700917285192444,0.2675707556918228
'Posterior insula',0.1312422620760857,0.0,0.339508165802637,0.08210450395751027,0.0005399440507350965
'Precentral gyrus',0.09939084691722376,0.0,0.48900882186750255,0.12993206904531812,0.0
'Precuneus',0.06055013766748516,0.0,0.304016902492413,0.157553276679394,0.09053607512472032
'Superior and middle occipital gyri',0.0,0.0,0.3010689978630889,0.013952337064499777,0.0
'Superior frontal gyrus and frontal pole',0.14576440927901643,0.03985416069846933,0.28489478873866386,0.16122125220461167,0.002194943089441956
'Superior parietal lobule',0.10175612556252017,0.0,0.3204599730098539,0.07960877190949546,0.00043525138567713053
'Superior temporal gyrus',0.21415144768400643,0.0,0.1849874164833053,0.05107449693495046,0.0
'Supplementary motor cortex',0.05471669381098037,0.06896603320076235,0.22932316231589345,0.18199792071878998,0.04654111900589378
'Supramarginal gyrus',0.1813502994928254,0.0,0.5162197359960778,0.06544835303664581,0.0
'Temporal pole and planum polare',0.0968423956536207,0.0,0.1519038407461668,0.035407077715733704,0.0
'Transverse temporal gyrus',0.00643371313030417,0.0,0.3606101753451907,0.1343020368355122,0.0030753975749323037
'Triangular part of inferior frontal gyrus',0.10786907250871247,0.0,0.11683575411412286,0.1350149521438294,0.0
