,0.5-0.75,0.75-1.25,1.25-1.75,1.75-2.25,2.25-3.25,3.25-3.75,3.75-4.25,4.25-5.25,5.25-6.25,6.25-6.75,6.75-7.75,7.75-8.25,8.25-9.25,9.25-10.25,10.25-11.75,11.75-13.25,13.25-15.25,15.25-17.25,17.25-20.25,20.25-24.25,24.25-31.75,31.75-80
'Calcarine cortex',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27449922637098667,0.18384400131438305,0.0,0.0,0.0,0.023321177783896124,0.0,0.0,0.0
'Cuneus',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004184351998095449,0.14229000248679893,0.0,0.016153550005606608,0.003582325185207224,0.0,0.0,0.010809181448143829
'Inferior ocipital gyrus and occipital pole',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2373962944181295,0.3065849503397497,0.21740124938215102,0.07244224893680132,0.0,0.0,0.0,0.0,0.0
'Lingual gyrus and occipital fusiform gyrus',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.368583600247224,0.4637521984245077,0.18670218215056017,0.0,0.028314407545909262,0.010875891946018472,0.0,0.0,0.0
'Superior and middle occipital gyri',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014953374167288206,0.2701384160484588,0.05603021922948398,0.06101626050977703,0.0,0.0,0.0,0.0,0.0
'Angular gyrus',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38417452049321194,0.3340097480873566,0.10018167482946963,0.5208325953948538,0.050998541460790435,0.24752696948551203,0.07273673355880354,0.0,0.0,0.0
'Parietal operculum',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18013459587549613,0.4560432598950997,0.15685552089569915,0.1950551013573992,0.0,0.0,0.05354562405267929,0.0,0.0,0.0
'Postcentral gyrus (including medial segment)',0.0,0.0,0.0,0.07495372213165867,0.3080077121700293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4479142438167644,0.2916317444880049,0.3527660577431276,0.0,0.0,0.1417219480528201,0.0,0.0,0.0
'Posterior cingulate',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2871140041917594,0.09193270123264889,0.03227686123251825,0.29573117647247815,0.0,0.0,0.024427428539550308,0.02962730495726309,0.03753391908864688,0.26198764728027757
'Precuneus',0.0,0.0,0.0,0.0,0.026280618778677472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35536286249271093,0.16241632382153037,0.0,0.14195449083513814,0.0,0.0,0.02480221041406566,0.0,0.008634266658288566,0.09093266114734348
